"cumulative_customer_share","cumulative_revenue_share"
0.6617,0.3174
0.6627,0.3183
0.6637,0.3192
0.6647,0.3201
0.6657,0.3211
0.6667,0.322
0.6677,0.3229
0.6687,0.3238
0.6697,0.3247
0.6707,0.3257
0.6717,0.3266
0.6727,0.3275
0.6737,0.3285
0.6747,0.3294
0.6757,0.3303
0.6767,0.3313
0.6777,0.3322
0.6787,0.3332
0.6797,0.3341
0.6807,0.3351
0.6817,0.336
0.6827,0.337
0.6837,0.3379
0.6847,0.3389
0.6857,0.3398
0.6867,0.3408
0.6877,0.3417
0.6887,0.3427
0.6897,0.3437
0.6907,0.3446
0.6917,0.3456
0.6927,0.3466
0.6937,0.3476
0.6947,0.3485
0.6957,0.3495
0.6967,0.3505
0.6977,0.3515
0.6987,0.3525
0.6997,0.3534
0.7007,0.3544
0.7017,0.3554
0.7027,0.3564
0.7037,0.3574
0.7047,0.3584
0.7057,0.3594
0.7067,0.3604
0.7077,0.3614
0.7087,0.3624
0.7097,0.3634
0.7107,0.3644
0.7117,0.3654
0.7127,0.3664
0.7137,0.3674
0.7147,0.3685
0.7157,0.3695
0.7167,0.3705
0.7177,0.3715
0.7187,0.3725
0.7197,0.3736
0.7207,0.3746
0.7217,0.3756
0.7227,0.3767
0.7237,0.3777
0.7247,0.3787
0.7257,0.3798
0.7267,0.3808
0.7277,0.3819
0.7287,0.3829
0.7297,0.384
0.7307,0.385
0.7317,0.3861
0.7327,0.3871
0.7337,0.3882
0.7347,0.3892
0.7357,0.3903
0.7367,0.3914
0.7377,0.3924
0.7387,0.3935
0.7397,0.3946
0.7407,0.3957
0.7417,0.3967
0.7427,0.3978
0.7437,0.3989
0.7447,0.4
0.7457,0.4011
0.7467,0.4022
0.7477,0.4033
0.7487,0.4044
0.7497,0.4055
0.7508,0.4066
0.7517,0.4077
0.7527,0.4088
0.7538,0.4099
0.7547,0.411
0.7558,0.4122
0.7568,0.4133
0.7578,0.4144
0.7588,0.4155
0.7598,0.4167
0.7608,0.4178
0.7618,0.419
0.7628,0.4201
0.7638,0.4212
0.7648,0.4224
0.7658,0.4235
0.7668,0.4247
0.7678,0.4258
0.7688,0.427
0.7698,0.4282
0.7708,0.4293
0.7718,0.4305
0.7728,0.4317
0.7738,0.4329
0.7748,0.434
0.7758,0.4352
0.7768,0.4364
0.7778,0.4376
0.7788,0.4388
0.7798,0.44
0.7808,0.4411
0.7818,0.4424
0.7828,0.4435
0.7838,0.4447
0.7848,0.446
0.7858,0.4472
0.7868,0.4484
0.7878,0.4496
0.7888,0.4508
0.7898,0.452
0.7908,0.4533
0.7918,0.4545
0.7928,0.4557
0.7938,0.457
0.7948,0.4582
0.7958,0.4595
0.7968,0.4607
0.7978,0.462
0.7988,0.4632
0.7998,0.4645
0.8008,0.4658
0.8018,0.467
0.8028,0.4683
0.8038,0.4696
0.8048,0.4709
0.8058,0.4721
0.8068,0.4734
0.8078,0.4747
0.8088,0.476
0.8098,0.4773
0.8108,0.4786
0.8118,0.4799
0.8128,0.4812
0.8138,0.4826
0.8148,0.4839
0.8158,0.4852
0.8168,0.4865
0.8178,0.4878
0.8188,0.4892
0.8198,0.4905
0.8208,0.4919
0.8218,0.4932
0.8228,0.4945
0.8238,0.4959
0.8248,0.4973
0.8258,0.4986
0.8268,0.5
0.8278,0.5014
0.8288,0.5027
0.8298,0.5041
0.8308,0.5055
0.8318,0.5069
0.8328,0.5083
0.8338,0.5097
0.8348,0.5111
0.8358,0.5125
0.8368,0.5139
0.8378,0.5153
0.8388,0.5168
0.8398,0.5182
0.8408,0.5196
0.8418,0.5211
0.8428,0.5225
0.8438,0.524
0.8448,0.5254
0.8458,0.5269
0.8468,0.5284
0.8478,0.5298
0.8488,0.5313
0.8498,0.5328
0.8509,0.5343
0.8518,0.5358
0.8528,0.5373
0.8539,0.5388
0.8548,0.5404
0.8559,0.5419
0.8569,0.5434
